shapeId,shapeType,shapeLabel,pointId,pointX,pointY,source
145,point,,0,1306.8999999999999,686.6999999999999,
146,point,,0,1318.8,686,
147,point,,0,1330.6999999999998,686,
148,point,,0,1346.1,685.3,
149,point,,0,1357.3,688.0999999999999,
150,point,,0,1367.8,688.0999999999999,
151,point,,0,1381.8,688.8,
152,point,,0,1393.6999999999998,688.0999999999999,
153,point,,0,1404.8999999999999,686,
154,point,,0,1416.1,683.1999999999999,
155,point,,0,1428,683.1999999999999,
156,point,,0,1439.8999999999999,681.8,
157,point,,0,1451.8,681.0999999999999,
158,point,,0,1463.6999999999998,681.8,
159,point,,0,1477.6999999999998,683.1999999999999,
160,point,,0,1490.3,683.9,
161,point,,0,1490.3,683.9,
162,point,,0,1504.3,683.9,
163,point,,0,1516.1999999999998,685.3,
164,point,,0,1528.1,683.1999999999999,
165,point,,0,1540.6999999999998,685.3,
166,point,,0,1556.1,685.3,
167,point,,0,1565.8999999999999,683.1999999999999,
168,point,,0,1577.8,685.3,
169,point,,0,1589.6999999999998,686,
170,point,,0,1600.1999999999998,688.0999999999999,
171,point,,0,1290.8,699.3,
172,point,,0,1285.1999999999998,709.0999999999999,
173,point,,0,1276.8,716.8,
174,point,,0,1267,725.1999999999999,
175,point,,0,1257.1999999999998,730.0999999999999,
176,point,,0,1246,742,
177,point,,0,1624.6999999999998,454.99999999999994,
